gamedev,dev,godot,expectations,struggles,topics,tutorial_disliked,tutorial_liked,improve,assignments,comments
student,foundations,I learned some foundations,"make proper sense of the engine, understand the structure of the games made in it, learn some new tips and tricks for myself","kicking off. also trying to comprehend which piece goes where, how to organise game state, etc ",Game feel;Visual effects;Code structure;Combat;Project organization;Team work,,,,Maybe,
hobbyist,foundations,I learned some foundations,From basic knowledge to little bit advance,Lack of game example,Visual effects;Platforming;Code structure,none. All your video are short and informative ,Game graphic production tutorial. One of the best video sources on YT,"More game ""case studies"" would be great",Yes,1~2 video per week is ideal.
hobbyist,professional,never used,Godot basics and game design fundamentals.,Creativity and graphics,Game feel;Visual effects;Level design;Code structure;Combat,This will be my first time using one.,This will be my first time using one.,,Yes,Looking forward to it.  Thank you. :)
hobbyist,professional,personal projects,,,Code structure;Maths for game programming,,,,No,Thanks for the great work so far :)
hobbyist,completed games,foundations,"Strategies for making a mid-sized game, particularly how to structure it",Continuing after the initial excitement about a project/finishing a game,Level design;Code structure;Combat;Artificial intelligence;Maths for game programming,N/A,N/A,Haven't watched any yet,Yes,Looking forward to the course
hobbyist,professional,foundations,What are the best practises when it comes to game creation with Godot 3.1,"Lately I've been trying to implement good, snappy, pixel-perfect platformer movement. But more generally creating game mechanics that feel good. And sticking to an idea, but that's beside.",Game feel;Platforming;Code structure;Combat;Artificial intelligence,,,,Maybe,
hobbyist,small programs,personal projects,To learn better code practices and programming patterns,With keeping my projects organized to work for long time periods,Game feel;Visual effects;Platforming;Level design;Code structure;Audio;Combat;Project organization;Artificial intelligence;Maths for game programming,,,,Maybe,
hobbyist,small programs,personal projects,,"a) Lack of suitable docs and tutorials going really deep. b) Getting the stuff in my head into code. For example I tried to build a (very basic) dynamically generated landscape only with roads, a river and some land plots. The biggest struggle however was that available videos and stuff on the Internet was mostly about people showing their work but giving zero advice or did not reply.",Level design;Code structure;Artificial intelligence,,The tutorials on saving the game state were excellent. Why? It was a clearly defined topic which was explained not starting with the pure basics but nevertheless in detail and thorougly.,,Maybe,"Not sure whether I just missed it, but had there been an info on the new course via kickstarter round-mail for backers of the first? I noticed the second kickstarter was already open purely by luck.
I had to pause my Godot projects for a while and tried to get back in via your youtube videos. Having the available videos being structured (like for example the ones from Kickstarter course I) would help a lot!"
hobbyist,professional,never used,game programming patterns,get enough determination to finish it,Platforming;Code structure;Project organization;Artificial intelligence,,"Most of them, really. Are really well explained and you cover a lot of different stages of game development.",Sugested exercises,Yes,Keep it going!
student,foundations,never used,,,Game feel;Visual effects;Platforming;Level design;Code structure;Project organization,,,,Yes,
hobbyist,small programs,foundations,Good coding practice,"Interaction with AI, NPC, structuring character stats and inventory",Code structure;Artificial intelligence;saving and loading game and settings,"In the RPG demo, I could not manage to make the player continue the jumping animation while attacking. The player stop in the air to attack.",The one that deal with procedural generation because I haven't seen much of them for Godot. Also the one that explain saving and loading because it is necessary to master saving and loading to expend a project.,Focus on good coding practice that allow to easily add new features.,Yes,
hobbyist,professional,foundations,How to tie different pieces together into a coherent game.,Creating graphics,Game feel;Visual effects;Level design;Code structure;Project organization;Artificial intelligence;Maths for game programming,,,,Yes,
hobbyist,small programs,never used,,,,,,,,
